OSM_ID,OSM_Type,Name,Latitude,Longitude,Category,cuisine,opening_hours,phone,website,wheelchair,outdoor_seating,smoking,addr_street,addr_housenumber,coord_group
n9815487344,node,50 Qəpik Kafe,40.3764098,49.8373398,cafe,,,,,,,,,,
n11874942869,node,95 Loft Coffee & Bruschetta,40.3750369,49.851597,cafe,coffee_shop,"We 09:00-00:00, Th 00:00-00:00, Fr-Tu 09:00-02:00",+994559502295,https://95loft.clopos.menu/,,yes,,Fikrət Əmirov küçəsi,1,
n5453776823,node,AA Lounge Karaoke,40.4074493,49.8680312,cafe,,,,,,,,,,
n10295737325,node,Abidə Çay Evi,40.4368139,49.8142245,cafe,,,,,,,,Füzuli küç.,,
n10300969072,node,Ailəvi Çay Evi,40.4326757,49.8150775,cafe,,,,,,,,,,
n4359931265,node,Ali Lahmacun,40.4090474,49.837682,cafe,,,+994702683868,,no,,,Nəcəf Nərimanov,65G,
n4446057675,node,Alibaba Nargile,40.408355,49.8606315,cafe,regional,,,,,,,,,
n4853095421,node,Amazon kafe,40.3911947,49.8494635,cafe,,,,,,,,,,
n1863509063,node,Araz terrace,40.3704856,49.8356922,cafe,,,,,,,yes,,,
n3042960117,node,Aristokrat Topaz kafesi,40.4245127,49.844185,cafe,,,,,,,,,,
n10278922351,node,Aristoktat Çay Evi,40.4314691,49.8423958,cafe,,,,,,,,,,
n2336972259,node,Arrow Terrace,40.3857673,49.8365489,cafe,,,,,,,,,,
n1878839313,node,Art,40.3730616,49.8436169,cafe,,,,,,,,,,
n12348008423,node,Art Café Mayak-13,40.3666951,49.8323366,cafe,,,,,,,,,,
n9773585543,node,Aspendos Kafe,40.3879883,49.866989,cafe,,,,,,,,,,
w300179868,way,Avatar kafesi,40.4199324,49.8390343,cafe,,,,,no,,,Nizami Narimanov,,
n4483931397,node,BULVAR BISTRO,40.3714674,49.8523747,cafe,,,,,,,,,,
n11750428579,node,Bagel Bar,40.3587107,49.8372751,cafe,coffee_shop;bagels,Mo-Su 07:30-23:00,+994502515185,,,yes,,Dənizkənarı küçəsi,26a,
n11786467833,node,Bahar Cafe,40.3737284,49.8208955,cafe,,,,,,yes,,,,
n10278860886,node,Bahar Kafe,40.4349357,49.8443981,cafe,,,,,,,,,,
n1896641341,node,Baki Geceleri,40.3738356,49.8381406,cafe,,,,,,,,,,
n1279154501,node,Baku Roasting Company,40.3777251,49.8101524,cafe,,,,,,,,,,
n11821316070,node,Baristica,40.3692733,49.8409015,cafe,coffee_shop,Mo-Fr 08:00-23:00; Sa-Su 09:00-23:00,+994508335255,https://baristica.az/menu.pdf,,no,,Zərifə Əliyeva küçəsi,12a,
n1809807641,node,Bashnya Kafe,40.4326242,49.8052862,cafe,regional,,,,,,,,,
n5030612621,node,Baytantuni,40.4041087,49.8713926,cafe,turkish,24/7,+994506910202;+994125140064,,,,,Ağa Nemətulla küçəsi,,
n11079179782,node,Bağ Kafe,40.3797505,49.8059432,cafe,,,,,,,,,,
n4159586791,node,Başkent Kafe \ 4 mkr,40.4105188,49.8144269,cafe,,Mo-Su 10:00-22:00,,,,,,,,
n12025227137,node,Başkent Restoran,40.4080105,49.8633452,cafe,,,,https://bashkent.az/,,,,,,
n11811707969,node,Beast Coffee,40.3855976,49.8864463,cafe,coffee_shop,Mo-Su 07:30-02:00,+994502559933,http://beastcoffee.az,,,,İlqar Mirzəyev küçəsi,13,
n12175560966,node,Belgian Chocolate,40.3805636,49.8848646,cafe,coffee_shop,Mo-Su 09:00-19:00,,,,yes,,1-ci Yaşıl Ada küçəsi,7/3,
n11877036924,node,Belgian Chocolate & Coffee,40.3813973,49.8754406,cafe,,,,,,,,,,
n13128936413,node,Belgian Chocolate & Coffee,40.3747702,49.8485677,cafe,coffee_shop,,,,,,,,,
n11759427369,node,Berlin Dönər,40.3716959,49.8359456,cafe,,Mo-Su 12:00-23:20,,,,yes,,Nizami küçəsi,,
n10299354473,node,Bizim Kafe,40.4370895,49.802337,cafe,,,,,,,,,,
n11877036925,node,Bombon Cafe & Lounge,40.3811746,49.8754835,cafe,,,,,,,,,,
n13208149001,node,Bookfe Coffee-Books-Vibe,40.3747553,49.851448,cafe,coffee_shop,Mo-Su 08:00-23:00,,,,,,Üzeyir Hacıbəyli küçəsi,69c,
n10931184777,node,Breezy Coffee Shop Baku,40.3768217,49.8326534,cafe,coffee_shop,Mo-Su 08:30-23:30,,https://breezybaku.az/,,yes,,Süleyman Rəhimov,50B,
n7293238342,node,Bridge Cafe,40.3741451,49.8247856,cafe,,,,,,yes,,,,
n4427992201,node,Brooklyn Cafe,40.3494265,49.8353506,cafe,,,,,,,,,,
w1272980704,way,Bubbles,40.3678396,49.8387293,cafe,bubble_tea,,,,,,,Məhəmməd Əmin Rəsulzadə küç.,,
n3037852536,node,Burjua,40.4322492,49.8536537,cafe,,,,,,,,,,
n4479449793,node,Buta,40.3686844,49.8358396,cafe,,,,,,,,,,
n11070880316,node,Buta Dining & Cha,40.3814705,49.8433168,cafe,coffee_shop;chinese;international,Mo-Su 08:30-23:30,+994998764343,https://www.butataste.az/,,,,Rəşid Behbudov küç.,43,
n6129057415,node,Büllur Kafe,40.4084806,49.8479816,cafe,local,,,,,,,,,
n9749732244,node,COFFEEMOON,40.3908438,49.846332,cafe,,,,,,yes,,Ceyhunbəy Hacıbəyli küç.,,
n12345444673,node,COLMPCoffee,40.3821142,49.8892282,cafe,coffee_shop,Mo-Su 09:00-22:00,+994552200960,,,,,2-ci Fəvvarələr küçəsi,7,
n6525036134,node,Cafe 4 You,40.3974348,49.8389801,cafe,,,,,,no,,Azadlıq prospekti,125,
n4293144158,node,Cafe Park,40.3946697,49.8024488,cafe,"regional,_azerbaijanina,_turkish,_european",,,,,,isolated,,,
n12225819001,node,Cafe Phi,40.3764167,49.8457334,cafe,,Mo-Su 08:00-00:00,+994 99 396 98 08,,,no,,Rəşid Behbudov küç.,54b,
n4303060091,node,Cafe Plaza,40.3723215,49.8371803,cafe,,,,,,,,,,
n4333299890,node,CafeCity,40.3788424,49.8473684,cafe,,Mo-Su 10:00-00:00,,,,,,,,
n11428702054,node,CafeCity,40.3812701,49.8805173,cafe,,Mo-Su 09:00-24:00,,,,,,,,
n3536036361,node,CafeCity Five,40.3841722,49.8237131,cafe,mediterranean;diner;russian;pasta;oriental;beef_bowl;international,"Mo-Th,Su 09:00-00:00; Fr-Sa 09:00-02:00",,,,,,İnşaatçılar pr.,,
n1863503979,node,CafeCity Fountain,40.3704291,49.8357304,cafe,,"Fr-Sa 09:00-02:00; Mo-Th,Su 09:00-00:00",,,,,yes,Islam Safarli,2,
n10312571529,node,CafeCity Ganjlik Mall,40.3997572,49.852131,cafe,,Mo-Su 10:00-00:00,,,,,,,,
n11405018269,node,Caffe Affar,40.3882403,49.8362923,cafe,,,+994 55 404 20 66,,no,,,Səməd Vurğun küçəsi,85,
n12293560609,node,Caffe Giusto,40.3628786,49.8332461,cafe,coffee_shop,Mo-Su 09:00-23:00,+994 55 771 11 23,,,no,,Şövkət Ələkbərova küçəsi,16e,
n1865940198,node,Casual Brasserie,40.3722004,49.8381943,cafe,,,+994 (12) 4988120,,,,,Nizami,46,
n11865716976,node,Central Cafe \ Mərkəzi Park Bakı,40.3744907,49.8282243,cafe,coffee_shop;ice_cream,,,,,,,,,
n11870958869,node,Chaplin House Coffee,40.3691675,49.8343515,cafe,,Mo-Su 08:00-23:00,+994 12 497 29 76,,,,,İstiqlaliyyət küçəsi,71,
w624702751,way,Chay Baghi 145,40.3664441,49.8363514,cafe,regional,24/7,,,,yes,,Böyük Qala Döngəsi 4,3,
n13763369115,node,Chef Baku,40.3693017,49.836971,cafe,,,,,,,,,,
n4303093601,node,Choco Cafe,40.3724721,49.8416448,cafe,italian,,,,,,,,,
n4931442724,node,City Döner,40.4040865,49.8707567,cafe,,,,,,,,,,
n12175086109,node,Coffee Domingo,40.38428,49.8847372,cafe,,,+994552556500,https://coffeedomingo.com,,yes,,Mərkəzi Bulvar küçəsi,6,
n9123795517,node,Coffee Drive,40.3936664,49.8405933,cafe,,,,,,,,,,
n12211216245,node,Coffee Go,40.411826,49.8461785,cafe,coffee_shop,Mo-Su 08:00-00:30,,,,no,,Atatürk prospekti,47,
n12211191921,node,Coffee Hub,40.4104944,49.8479302,cafe,coffee_shop,Mo-Su 08:00-01:00,,,,yes,,Atatürk prospekti,120,
n11910148328,node,Coffee La Ros's,40.3764168,49.8521146,cafe,coffee_shop,Mo-Su 08:00-23:45,+994555004477,,,yes,,Nizami küçəsi,154,
n11888516370,node,Coffee Lab,40.4145374,49.8423283,cafe,coffee_shop,Mo-Su 07:30-23:00,+994502272236,,,,,Səttar Bəhlulzadə küçəsi,109,
n12208701173,node,Coffee Mode,40.382849,49.870112,cafe,coffee_shop,Mo-Su 08:00-23:00,+994 51 337 09 04,,,no,,Xocalı prospekti,,
n9990683417,node,Coffee Moffie,40.3717685,49.8352802,cafe,coffee_shop,Mo-Su 08:00-01:00,,https://coffeemoffie.com/,yes,yes,,İslam Səfərli küçəsi,9,
n12175560976,node,Coffee Moon,40.384575,49.8821771,cafe,coffee_shop,Mo-Su 07:30-01:00,,,yes,yes,no,Mərkəzi Bulvar küçəsi,2,
n13128933060,node,Coffee Moon,40.3747581,49.8485157,cafe,coffee_shop,,,,,,,,,
n12175560957,node,Coffee Nero,40.3845919,49.8812706,cafe,coffee_shop,Mo-Su 08:00-24:00,,,yes,yes,no,Mərkəzi Bulvar küçəsi,2,
n12176959953,node,Coffee Nero,40.395116,49.8398754,cafe,coffee_shop,Mo-Su 08:00-24:00,,,,yes,,Azadlıq pr.,105,
n4756762721,node,Coffee Point,40.3797324,49.8829145,cafe,coffee_shop;pasta;pizza;beef_bowl;sandwich;local;ice_cream;breakfast;chicken;friture,Mo-Sa 09:00-22:00,+994124881041,,,yes,,8 Noyabr pr.,25,
n11883774967,node,Coffee Room,40.3755771,49.8186392,cafe,,,,,,,,,,
n11815642469,node,CoffeeBar 1,40.3766958,49.8551609,cafe,coffee_shop,,,,no,yes,,Xaqani küçəsi,103,
n4996661521,node,CoffeeBar 2,40.3684272,49.8380584,cafe,coffee_shop,Mo-Su 09:00-01:00,+994556110040,,,yes,,Məhəmməd Əmin Rəsulzadə küç.,5,
n11815623470,node,CoffeeBar 3,40.3837373,49.8276496,cafe,coffee_shop,Mo-Su 09:00-23:00,+994 55 416 00 37,,,,,Məhəmməd Naxçıvani küçəsi,41,
n5003346222,node,CoffeeLea,40.3747789,49.8485457,cafe,coffee_shop,,,,,,,Xaqani küçəsi,39,
n11861916369,node,CoffeeLea,40.390631,49.8463504,cafe,coffee_shop,Mo-Su 08:00-23:30,,,,,,Ceyhunbəy Hacıbəyli küç.,28,
n13208345801,node,CoffeeLea Boulevard,40.3605728,49.8364008,cafe,,"Su, Tu-Fr 08:30-00:00; Mo, Sa 09:00-00:00",,,,,,,,
n5213042021,node,Coffeemania,40.4053853,49.8697209,cafe,,,,,,,,,,
n11750428581,node,Coffemania,40.3576996,49.8378067,cafe,coffee_shop,,,,,,,,,
n13208361901,node,Cofferica Roasters,40.3945907,49.8619679,cafe,coffee_shop,Mo-Fr 09:00-21:00; Sa-Su 10:00-17:00,,,,,,,,
n12197769066,node,Cofiesto,40.3751528,49.8565471,cafe,coffee_shop,Mo-Su 09:00-23:00,,,yes,yes,no,Rixard Zorge küç.,3a,
n12218154356,node,Cofika,40.3753698,49.8574069,cafe,coffee_shop,Mo-Su 08:00-00:00,,,,no,,Zərifə Əliyeva küçəsi,111,
n4452302333,node,Cook Zone,40.3727987,49.8427016,cafe,,,,,,,,,,
n11758588328,node,Costa,40.4005911,49.8536008,cafe,coffee_shop,Mo-Su 08:00-23:00,,,,no,,Fətəli Xan Xoyski pr.,14,
n11780660297,node,Costa,40.3719219,49.8376434,cafe,coffee_shop,Mo-Su 09:00-23:00,,,,yes,,Nigar Rafibayli,43C,
n11781518745,node,Costa,40.3850319,49.828234,cafe,coffee_shop,,,,,yes,,Cəfər Cabbarlı küçəsi,609,
n12043190728,node,Costa,40.3581454,49.8374984,cafe,coffee_shop,Mo-Su 08:00-23:00,,,,no,,Dənizkənarı küçəsi,26a,
n12043237277,node,Costa,40.3660799,49.8366888,cafe,coffee_shop,Mo-Su 08:00-23:00,,,limited,yes,,Asəf Zeynallı küçəsi,65,
n12175560959,node,Croque Croissanterie & Patisserie,40.3848906,49.8862041,cafe,coffee_shop,,,,,no,,Mərkəzi Bulvar küçəsi,7/3,
n11878695877,node,CupCup,40.3839482,49.8287085,cafe,coffee_shop,Mo-Su 7:30-01:00,,,,yes,,,,
n12175560964,node,Cuppa,40.3806896,49.8830026,cafe,coffee_shop,Mo-Su 10:00-23:00,,,,yes,,1-ci Yaşıl Ada küçəsi,5,
n12211216244,node,Cuppa Coffee,40.4099874,49.8481144,cafe,coffee_shop,Mo-Su 09:00-23:00,,,,no,,Atatürk prospekti,36,
n11978921969,node,Dadli Kabab Kewle,40.3919967,49.8944557,cafe,kebab,,+994508518888,,,,,Məşədi Hilal Kazımov küç.,,
n12161700018,node,Deem Coffee,40.374304,49.8399414,cafe,coffee_shop,Mo-Su 08:00-23:00,+994107126612,https://www.tripadvisor.com/Restaurant_Review-g293934-d27437921-Reviews-Deem_Coffee_Company-Baku_Absheron_Region.html,,yes,,Qoqol küçəsi,40a,
n11863040069,node,Dejavu Coffee Shop,40.3809809,49.843802,cafe,coffee_shop,Mo-Su 08:00-23:00,,,,no,,Rəşid Behbudov küçəsi,104a,
n12404711727,node,Dejavu Coffee Shop,40.3697471,49.8403998,cafe,coffee_shop,Mo-Su 08:00-23:00,,,,no,,Yusif Məmmədəliyev küç.,6,
n7165852785,node,Depo Cafe,40.3822719,49.8581944,cafe,,Mo-Su 10:00-02:00,+994507141115,,,,,Hüseyn Rəsulbəyov küç.,,
n9902608762,node,Dinamit Fast Food,40.3429646,49.8102012,cafe,,,,,,,,,,
n11879170207,node,Diplomat,40.3774343,49.8314707,cafe,,,,,,,,,,
n2007655612,node,Double Coffee,40.373235,49.8403494,cafe,,,,,,,yes,,,
n4487070146,node,Downtown,40.3747796,49.84253,cafe,hookah_and_tea,,+994 51 349 43 10,,,,,Həzi Aslanov,88d,
n13868876669,node,Dönər Kafe,40.399217,49.8360832,cafe,,,,,,,,,,
n9735763098,node,Dönər İnn,40.3970441,49.8050172,cafe,,,,,,,,,,
n11812152870,node,Dəniz Çay Evi,40.3609104,49.8365276,cafe,,,,,,,,Mikayıl Useynov pr,,
n3042960123,node,Dəyirman kafesi,40.4188213,49.8431659,cafe,,,,,,,,,,
n12146575439,node,Egoist,40.3666516,49.8293789,cafe,,,,,,,,,,
n11915650569,node,Emalatxana Art Space & Cafe,40.3711421,49.8390863,cafe,,Mo-Su 12:00-02:00,+994505616633,,,,,Yusif Məmmədəliyev küçəsi,,
n11874855669,node,Espressoul,40.375167,49.8507942,cafe,,"Mo-Fr 09:00-00:00, Sa-Su 10:00-00:00",+994509857834,,,,,Xaqani küçəsi,45,
n13227246201,node,Fabrik,40.3769789,49.8561233,cafe,coffee_shop,Mo-Su 08:00-00:00,,,,,,Xaqani küçəsi,115A,
n10300969073,node,Faxralı Kafe,40.432348,49.8144217,cafe,,,,,,,,,,
n5145158322,node,Faxralı hingəl kafe,40.4264894,49.8476859,cafe,,,,,,,,,,
n11887825269,node,Fika Coffee Culture,40.3844377,49.8443686,cafe,coffee_shop,Mo-Su 08:00-22:00,,https://fika-coffee-culture.com/,,yes,,Abbas Zamanov küçəsi,8,
n3678139445,node,Fincan,40.3687686,49.8180598,cafe,,,,,,,,,,
n4173027789,node,Fito Club,40.422124,49.8464812,cafe,,,,,,,,Şövkət Məmmədova küç.,8,
n9915846148,node,Fontan Kafe,40.4163173,49.8082674,cafe,,,,,,,,,,
n10688471958,node,Fooda Baku,40.3815888,49.8435514,cafe,coffee;tea;cake;pasta;salad;chocolate,Mo-Su 08:00-23:00,+994553412171,https://instagram.com/fooda_baku,,no,,Rəşid Behbudov küç.,122F,
n11821275767,node,Friends,40.3682949,49.8381921,cafe,,,,,,yes,,Məhəmməd Əmin Rəsulzadə küç.,,
n11881148526,node,Friends,40.3844942,49.8289566,cafe,,,,,,,,,,
w450642688,way,Fədək Kafe,40.4004953,49.8800723,cafe,,,,,,,,Arif Heydərov küçəsi,143-148,
n9565187412,node,Gazelli Cafe,40.3743742,49.8449643,cafe,,Mo-Su 09:00-23:30,+994124049300,,,yes,,Nizami küçəsi,93,
n3029508612,node,Gecə-gündüz,40.3893077,49.8757702,cafe,,,,,,,,,,
n4542903191,node,Gentle Flowers & Wine,40.3709205,49.810328,cafe,,,,,,,,,,
n4483931396,node,Gilavar,40.3717501,49.8529966,cafe,,,,,,,,,,
n11879112851,node,Gilli Pottery & Coffee,40.3704653,49.8339552,cafe,,,,,,,,,,
n4973515323,node,Gloria Jean's,40.403374,49.8727357,cafe,coffee_shop,,,,,,,,,
n4973541824,node,Gloria Jean's,40.3678487,49.8389702,cafe,coffee_shop,,,,,,,,,
n4973541825,node,Gloria Jean's,40.3692081,49.8344446,cafe,coffee_shop,"Mo-Su,PH 08:30-23:00",,,,no,,,,
n4973542721,node,Gloria Jean's,40.399781,49.8528789,cafe,coffee_shop,,,,,,,,,
n4973542921,node,Gloria Jean's,40.3791101,49.8466938,cafe,coffee_shop,,,,,no,,,,
n7888910985,node,Gloria Jean's,40.3756821,49.8608943,cafe,coffee_shop,,,,,,,,,
n11862644769,node,Gloria Jean's,40.3705674,49.8498407,cafe,coffee_shop,,,,yes,,,Neftçilər pr.,,
n11879112844,node,Gloria Jean's,40.3731289,49.8327305,cafe,coffee_shop,Mo-Su 08:30-23:00,,,,,,,,
n11881172498,node,Gloria Jean's,40.3847127,49.8288723,cafe,coffee_shop,,,,,,,,,
n12146406844,node,Gloria Jean's,40.3735951,49.8590626,cafe,coffee_shop,,,,,,,,,
n12186275574,node,Gloria Jean's,40.4127129,49.8466074,cafe,coffee_shop,Mo-Su 08:30-23:00,,,,yes,,Atatürk pr.,140,
n11887833169,node,Green Coffee Bar,40.3747618,49.8484657,cafe,coffee_shop,Mo-Fr 07:30-00:00; Sa-Su 09:00-01:00,,,,,,Xaqani küçəsi,39,
n4901549821,node,Green cafe,40.3924053,49.8559006,cafe,,,,,,yes,,Əhmədbəy Ağaoğlu küçəsi,,
n3037852540,node,Gənclik,40.430063,49.8540101,cafe,,,,,,,,,,
n9777572299,node,Hisar Kafe,40.3892529,49.8760039,cafe,,,,,,,,,,
n12282876201,node,Hola Coffee,40.3772095,49.8540725,cafe,coffee_shop,Mo-Su 08:00-23:00,+994 51 421 63 99,https://hola.az,,no,,Nizami küçəsi,203,
n13208146901,node,Honours Coffee & Library,40.3754673,49.8534393,cafe,coffee_shop,Mo-Su 06:00-00:00,,,,,,Üzeyir Hacıbəyli küçəsi,35,
n12147564578,node,Hug Mug,40.3632459,49.8251235,cafe,,,,,,,,,,
n12408184706,node,Hug n' Mug,40.3822942,49.8461207,cafe,coffee_shop,Mo-Su 08:00-21:00,+994703480091,,,no,,Azadlıq prospekti,58a,
w306870237,way,Həkəri Kafe,40.4294179,49.8721466,cafe,,,,,,,,,,
n4580266993,node,Həmşəri Lahmacun,40.3855941,49.8157665,cafe,,,,,,,,,,
n3037852542,node,Həzz Klub,40.4263987,49.853016,cafe,,,,,,,,,,
n4100387389,node,Il Futuro book cafe,40.3727897,49.8348973,cafe,cake;coffee_shop,24/7,,,,,,İslam Səfərli küçəsi,25a,
n1894143033,node,Kafe,40.3743034,49.8365839,cafe,Azeri,,,,,,,,,
n4485168107,node,Kafe,40.3420469,49.8396399,cafe,,,,,,,,,,
n4679102890,node,Kafe,40.3988713,49.8758332,cafe,,,,,,,,,,
n5404051221,node,Kafe,40.4054925,49.8678774,cafe,,24/7,,,,,,Fətəli Xan Xoyski prospekti,,
n9873078398,node,Kafe,40.4113558,49.8702545,cafe,,,,,,,,,,
n10299359598,node,Kafe,40.4390391,49.8006552,cafe,,,,,,,,,,
n12304985589,node,Kafe,40.4184543,49.7956435,cafe,,,,,,,,,,
w1312076333,way,Kafe,40.4166415,49.8249849,cafe,,Mo-Sa 09:00-22:00,,,,yes,,Mirmahmud Kazımovski küç.,2a,
n4359931266,node,"Kafe ""Təbriz""",40.409127,49.8382654,cafe,regional,,,,,,,,,
n4803486121,node,Kafe Dolma,40.4132731,49.8485985,cafe,,,,,,,,,,
n6415195293,node,Kafe Gallery,40.3645371,49.8347139,cafe,,,,,,,,,,
n5156690625,node,Kafe Nermin,40.3703004,49.8403571,cafe,,Mo-Su 07:00-00:00,+994507344151,,,,,,,
n4316752653,node,Kafe Park Musabəyov,40.3796166,49.8078163,cafe,pizza;chicken;tea;turkish;friture;coffee_shop;local,Mo-Su 08:00-01:00,+994552660907,https://www.cafepark.az/,,,,Nazim Hikmət küç.,,
n12469512101,node,Kafe Serche,40.3689677,49.8329769,cafe,,Mo-Su 09:30-22:30,+994 51 653 04 19,,,,,Zərgərpalan küçəsi,,
n12469521601,node,Kafe Serche 2,40.385063,49.8438225,cafe,,Mo-Su 09:30-22:30,+994 51 653 04 19,,,,,Vladislav Plotnikov küç.,,
n11961831269,node,Kahve Dükkanı,40.3808014,49.8816587,cafe,breakfast;coffee_shop;turkish,Mo-Su 09:00-23:00,,https://www.kahvedukkani.com.tr/,,,,1-ci yaşıl ada,1,
n12343160702,node,Kashalata,40.3773718,49.8607673,cafe,coffee_shop,Mo-Su 08:00-23:00,+994 55 602 07 12,,yes,no,,Üzeyir Hacıbəyli küçəsi,57,
n6801372685,node,Kibrit Book Cafe,40.3731471,49.838388,cafe,,,,,,,,Lev Tolstoy küçəsi,154,
n9747227848,node,Kişmiş Kafe,40.4172771,49.846293,cafe,,,,,,,,,,
n2895336281,node,Kleopatra Kafe,40.3883422,49.8811908,cafe,,,,,,,,,,
n3037852544,node,Korona,40.4284461,49.8522137,cafe,,,,,,,,,,
n9744984663,node,Kotanlı Kafe,40.4119358,49.8355883,cafe,,,,,,,,,,
n4983711623,node,Kure Pizza,40.4185708,49.8448863,cafe,,,,,,,,,,
